uuid,identifier,createdBy,Date,Type,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositioninTheLandscape,ProminenceNote,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1.00E+18,8100,Bara Weissova,10-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Hilltop,,42.40222518,26.13370833,4694799.84,428709.119,3,1,,North,local ridge,files/app/f0602013-8cb4-411b-b57b-18d79acbf577_image-1505022437748.original.jpg,4,35,NA,NA,35 X 35,,,,No,,,2 - minor damage,Looting,,1 - full,Looting,,Last year,,"01,rectangle,2,1,1,manual excavation; 02, rectangle,2.5,2, 1, manual excavation; 03,square, 1,1, manual excavation; 04,square,1, 0.5, manual excavation; 05,irregular,1,3, 1, manual excavation.
 ",,files/app/1d3ba251-e7eb-4e4b-8ee0-f38956d0effd_image-1505023770466.original.jpg - files/app/a16eb53b-7bee-4ed9-b6cc-2ff21019ce40_image-1505023699559.original.jpg,POINT(428709.118957 4694799.839653)
1.00E+18,9510,Vera Dolezalkova,10-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Upper slope,,42.40430314,26.13168499,4695032.272,428544.9661,3,18,,Northwest,photo numbers 7 and 8,files/app/269ca98c-142f-49ad-a44a-1cd2ac8e1fc3_image-1505022857490.original.jpg,3,20,1.3,16,,,,,No,,,2 - minor damage,Animal activity,,1 - full,Animal activity,,Last month,,,,,POINT(428544.966109 4695032.271881)
1.00E+18,9511,Vera Dolezalkova,10-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Upper slope,,42.40461911,26.13133157,4695067.654,428516.2413,3,19,,Northwest,15-19,files/app/ead97fd2-df44-41fc-927d-3e401bb8ef05_image-1505023802701.original.jpg,2,17,NA,14,,,Stone wall (krepis) - Other (Daub),Stone circle of large boulder with diameter of 5m visible in the trench in the centre of the mound,No,,files/app/7a9cc9d1-3b40-488c-8eb8-e98e1db59d04_image-1505023598730.original.jpg,4 - seriously damaged,Looting,,4 - minimal,Looting,,Last year,,"Trench oriented east to west 10m in length 3m wide max depth 1.5m trench is divided with standing profile in north south direction. inside the mound, cutting across the trenches is a circle of LG quartz stone boulders CCA 1 m across. ",,files/app/01e7ed18-6dcb-468c-bae4-495456f53978_image-1505023693426.original.jpg - files/app/aed6db7f-36aa-4d5a-8d01-bea35f8426c5_image-1505023549918.original.jpg,POINT(428516.241261 4695067.653504)
1.00E+18,9512,Vera Dolezalkova,10-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Upper slope,,42.40480866,26.13115114,4695088.852,428501.6085,3,20,,Northwest,22-36,files/app/0f74be45-bc0c-44f5-8c7e-165a12d3595c_image-1505024502841.original.jpg - files/app/11d1a37d-c2b1-47b1-acb5-f2aac90f143d_image-1505024551976.original.jpg - files/app/e69eebbf-51cb-498b-b8d2-64f7d3dc09da_image-1505024529885.original.jpg,1.2,20,NA,14.5,,,Stone wall (krepis) - Artefact scatter,quartz boulders krepis possible bronze age pottery handmade burnished late bronze greyware prehistoric eBa and bBA pottery eBa is most prominent?,No,early bronze age,files/app/042cca73-187f-4e56-a5df-06152407937b_image-1505025746749.original.jpg - files/app/37404033-99a9-48fb-8a36-11438b2b1582_image-1505024203393.original.jpg,4 - seriously damaged,Looting,,4 - minimal,Looting,,Last year,,"circular rock formation of 1m quartz boulders Robbers trenches outside main formation, 6.9m by 4.9m",,files/app/19a771f1-ce57-4bb4-9179-dd7dffc9dfb4_image-1505026096013.original.jpg - files/app/c6809ca1-257b-4cda-a7ce-bc5affd1b7cd_image-1505025204046.original.jpg,POINT(428501.608501 4695088.852274)
1.00E+18,8101,Bara Weissova,10-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Hilltop,,42.40266094,26.13346202,4694848.432,428689.3416,3,2,,East,local ridge,files/app/03d03e25-dec1-45db-861c-0629905fc839_image-1505024154223.original.jpg,0.5,12,NA,10,,irregular due to treasure hunt. lengthened from soil movement during treasure hunt.,,,No,,,5 - extinct or near extinct,Looting,,5 - none or nearly none,Looting,,Unknown,,,,files/app/ed98df4b-e21b-4933-9c47-d9b56e8e471a_image-1505024656028.original.jpg,POINT(428689.341615 4694848.431896)
1.00E+18,8102,Bara Weissova,10-Sep,Burial Mound,Legacy verification,,Scrub,,Scrub,,Upper slope,,42.40341649,26.13752645,4694928.924,429024.6733,3,4,,North,camera photo  5 + 6,files/app/19a9ce2b-cd0c-4adc-a3e1-62e43b3339e1_image-1505027868207.original.jpg,0.5,20,NA,15,,,,,No,,,5 - extinct or near extinct,Excavation,,5 - none or nearly none,Looting,,Unknown,,,inside of mound has been excavated,,POINT(429024.673318 4694928.923609)
1.00E+18,8300,Adela Sobotkova,10-Sep,Extinct Burial Mound,Legacy verification,,Annual agriculture,,Scrub,,Valley Bottom or Plain,,42.40069278,26.13347198,4694629.883,428687.9326,3,1,,South,39-40,files/app/772baaf2-2efe-40c3-b7a8-5b7d74863791_image-1505027801964.original.jpg - files/app/bd617f24-b6ff-487c-8937-da8e8fa1bbac_image-1505027816711.original.jpg,0.5,15,NA,11,,,,Pile of white quartz stone football size in centre of the mound,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Unknown,,N\A,,,POINT(428687.932566 4694629.882916)
1.00E+18,9513,Vera Dolezalkova,10-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.39465764,26.13481875,4693958.626,428791.9442,3,22,,Southwest,"light brown soil at top of mound 5x5 metres
photo/114",files/app/2a486e22-c33a-46e6-820c-1f631f53f3d8_image-1505028465379.original.jpg,2,28,1.6,21,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(428791.944199 4693958.625652)
1.00E+18,8301,Adela Sobotkova,10-Sep,Burial Mound,Legacy verification,overgrown mound 1m weeds,Annual agriculture,,Scrub,,Valley Bottom or Plain,,42.39780368,26.13289378,4694309.569,428637.0748,3,2,,South,41-42,files/app/90aed57d-b9cb-477f-a77c-60e6a6b078c6_image-1505028497157.original.jpg,2.3,17,NA,12,,,,,No,,,2 - minor damage,Post-depositional,Minor looting,2 - good,Looting,,Unknown,,"[01, lozenge, 1.5, 0.5, 0.3, very old and overgrown]",,files/app/641d5767-3c81-47c7-8452-7caba1cd3ad6_image-1505028641040.original.jpg,POINT(428637.074831 4694309.569396)
1.00E+18,8103,Bara Weissova,10-Sep,Extinct Burial Mound,Legacy verification,"overgrown, no visible traces of any mound",Scrub,,Scrub,,Valley Bottom or Plain,,42.40592688,26.13992744,4695205.669,429225.0808,3,,,South,"no mound, just scrub. photo number 7",files/app/8cdd9647-9079-4b41-9b71-2025fc7c479c_image-1505029149665.original.jpg,0,0,0,0,,,,,No,,,5 - extinct or near extinct,No observation,,5 - none or nearly none,Unknown,,Unknown,,,,,POINT(429225.080824 4695205.66904)
1.00E+18,8104,Bara Weissova,10-Sep,Uncertain Mound,Legacy verification,all scrub.,Scrub,,Scrub,,Valley Bottom or Plain,,42.40836932,26.1390629,4695477.592,429156.6863,3,5,,East,,files/app/dedeab43-f675-4fc5-9b63-d6efd585fac0_image-1505029971069.original.jpg,0,0,0,0,,,,,No,,,5 - extinct or near extinct,No observation,,No observation,Unknown,,Unknown,,,,,POINT(429156.686299 4695477.592247)
1.00E+18,8302,Adela Sobotkova,10-Sep,Burial Mound,Legacy verification,"inside a dense wild vine field, recorded remotely due to poor access",Scrub,the scrub comprises an old vineyard gone wild,Scrub,,Valley Bottom or Plain,,42.39705737,26.12892326,4694230.044,428309.4487,3,,,West,"inaccessible mound in dense wild vines, documented remotely Photo no. 44-45",files/app/b697d451-655d-479d-9aa4-40bcb06262bc_image-1505030867382.original.jpg,1.5,15,NA,NA,,,,no visibility,No,,,0 - No observation,Other,,Other,Not available,,Unknown,,,,,POINT(428309.448665 4694230.044063)
1.00E+18,8105,Bara Weissova,10-Sep,Uncertain Mound,Legacy verification,,Forest,,Forest,,Hilltop,,42.40992288,26.14072092,4695648.715,429294.8643,3,6,,North,"hard to picture, impossible to go further and still see the mound",files/app/db54511c-6f52-4e6f-92e1-82cddbb99aac_image-1505030949256.original.jpg,3,15,0.5,10,,,,,No,,,1 - pristine,No observation,,1 - full,Not available,,Not relevant,,,,,POINT(429294.864313 4695648.715018)
1.00E+18,9514,Vera Dolezalkova,10-Sep,Uncertain Mound,Survey,,Scrub,,Scrub,,Hilltop,,42.39738531,26.1432916,4694254.434,429492.3539,3,23,274.8,Northwest,,files/app/3c0c61b9-378f-4c18-b3b1-3b7eadff1b27_image-1505031588646.original.jpg,1.5,11,1.3,8,,,,none,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Unknown,,"Robbers trench cut from east side to centre of mound
east/west 3m
north/south 2.5m
depth 1.2m
8 stones placed on the bottom of trench see drawing",point offset by 50m to north),files/app/0cce51d4-7c17-4a3c-adbb-6725ed55cb63_image-1505031808317.original.jpg - files/app/491893be-9f85-4ba9-b78e-2a58f43db1ad_image-1505032258328.original.jpg - files/app/622acd7c-42cf-4507-b36e-803aabc8b176_image-1505032478790.original.jpg - files/app/976e491c-4181-470c-9bb0-f8553ff9212c_image-1505031770802.original.jpg,POINT(429492.353923 4694254.433648)
1.00E+18,8303,Adela Sobotkova,10-Sep,Burial Mound,Legacy verification,mound in a fenced feild,Perennial agriculture,e.g orchard or vineyard (walnut trees,Pasture,grassland (scrubby,Valley Bottom or Plain,,42.39523427,26.11879323,4694036.207,427473.631,3,,,South,47-48,files/app/81da39b1-e6a2-43e2-a568-35b57de38d7a_image-1505033519720.original.jpg,2.7,22,NA,NA,,,,n\a,No,,,1 - pristine,Agriculture,,1 - full,Agriculture,,Last year,,,,,POINT(427473.630951 4694036.20688)
1.00E+18,9515,Vera Dolezalkova,11-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.4007734,26.22150291,4694568.702,435932.6798,3,24,206.8,North,Photo #1,files/app/04f0fd6d-1668-4cf8-a3d1-f183a52800e8_image-1505103862591.original.jpg,1.6,40,1.4,42,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(435932.679835 4694568.701546)
1.00E+18,8304,Adela Sobotkova,11-Sep,Burial Mound,Legacy verification,"mound in ploughed field,dry limestone extrusion on SE side, ploughed up and lighter colour than the surrounding",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.40607583,26.24816852,4695137.707,438132.3789,3,3,,Southeast,slr#49,files/app/11548b99-6dc2-414e-8578-40ea3fb8d1df_image-1505103936752.original.jpg,1.4,13,NA,12,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,ploughed up sprawling mound,,POINT(438132.378925 4695137.707434)
1.00E+18,8106,Bara Weissova,11-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Perennial agriculture,e.g orchard or vineyard,Valley Bottom or Plain,,42.40970772,26.24783206,4695541.229,438108.2628,3,8,,North,camera photo,files/app/9a543a6c-5890-42eb-bdbe-f35a35369cf8_image-1505104267136.original.jpg,1.5,55,NA,50,p,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last year,,,,,POINT(438108.262782 4695541.229061)
1.00E+18,8305,Adela Sobotkova,11-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Hilltop,,42.40297633,26.24696348,4694794.425,438030.1664,3,4,,Southwest,slr#050,files/app/80354079-819c-44a7-903a-b34899a80c10_image-1505104838654.original.jpg,0.7,22,NA,16,,,,,No,,,3 - damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(438030.166351 4694794.424591)
1.00E+18,9516,Vera Dolezalkova,11-Sep,Uncertain Mound,Legacy verification,"very flat and hidden in a scrub, limestones spread within the scrub",Annual agriculture,,Scrub,,Valley Bottom or Plain,,42.40493326,26.2302587,4695024.037,436657.437,3,25,,East,"bigger limestone holders 15cm max spread around in scrub
photos #2-5",files/app/2584fdd2-0e4f-4177-981c-2931430f1fa5_image-1505104867431.original.jpg,1,14,NA,8,,uncertain height,,,No,,,3 - damaged,Agriculture,,4 - minimal,Agriculture,,Unknown,,,"pile of limestone stones in the corner of the field, gathered from the field, possibly from the plowed up mound, placed about 25 m West",,POINT(436657.437045 4695024.03736)
1.00E+18,8306,Adela Sobotkova,11-Sep,Burial Mound,Legacy verification,lozenge shaped near extinct mound,Annual agriculture,,Scrub,,Hilltop,,42.40246734,26.24735842,4694737.62,438062.1668,3,5,,Northwest,slr#51-52,files/app/3464a5ce-ea15-4913-b89d-57f91767c50f_image-1505105350825.original.jpg,1,22,NA,7,,"short dimension refers to scrubby area only, mound extends into the ploughed field",Other,"field stones of small size piled on top, some
e concrete markers and other modern refuse",No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last year,,,,,POINT(438062.166823 4694737.619986)
1.00E+18,8107,Bara Weissova,11-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Scrub,,Valley Bottom or Plain,,42.3880455,26.189618,4693179.962,433295.1802,3,9,,West,,files/app/de02516a-ef19-45d1-88a2-58d28758d15c_image-1505106149927.original.jpg,0.3,20,NA,11,,,,,No,,,4 - seriously damaged,Looting,agriculture,5 - none or nearly none,Looting,,Unknown,,,,files/app/721f3fa3-0f9b-4699-8ebf-8a0430e54121_image-1505106070736.original.jpg - files/app/e1f3ebe6-4ae3-41ab-842d-2ade8b56cd3a_image-1505106103727.original.jpg,POINT(433295.180156 4693179.961652)
1.00E+18,9517,Vera Dolezalkova,11-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Pasture,grassland,Valley Bottom or Plain,,42.40478628,26.22903625,4695008.629,436556.692,3,26,,West,photos #8-10,files/app/a88bcb8c-7791-4db2-a998-5aace9edbd64_image-1505106190362.original.jpg - files/app/e12131d1-d080-4897-b227-5236d1dde033_image-1505106221236.original.jpg,1,25,NA,20,,,,,No,,,4 - seriously damaged,Agriculture,looting,4 - minimal,Looting,,Unknown,,"[01,rectangular,7,2.4,1.6,see the drawing]",,files/app/0a7933c3-14f3-4b5b-8795-650821fdb944_image-1505106560756.original.jpg - files/app/d522aa36-ed28-428e-989b-e6586d643cc3_image-1505106536208.original.jpg - files/app/e333f1c9-c016-46cd-92cb-02d773dbd560_image-1505106788260.original.jpg,POINT(436556.69197 4695008.62912)
1.00E+18,8108,Bara Weissova,11-Sep,Extinct Burial Mound,Legacy verification,,Scrub,,Scrub,,Hilltop,,42.38970276,26.18663453,4693366.326,433051.3626,3,10,,Northwest,local viewpoint to the valley,files/app/2ee3a42b-fe2e-4a12-9716-fc52dee9ab49_image-1505107139744.original.jpg,0,0,0,0,,,,,No,,,5 - extinct or near extinct,Looting,,5 - none or nearly none,Looting,,Unknown,,,,,POINT(433051.362551 4693366.325957)
1.00E+18,9518,Vera Dolezalkova,11-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.4084193,26.230018,4695411.298,436641.1374,3,27,,Northeast,,files/app/770a35bd-86dd-4d4c-87a5-fcf7eef6b328_image-1505107578700.original.jpg,0.9,35,0.7,30,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(436641.137432 4695411.297874)
1.00E+18,8109,Bara Weissova,11-Sep,Extinct Burial Mound,Survey,,Annual agriculture,,Scrub,,Valley Bottom or Plain,,42.38807485,26.18645587,4693185.708,433034.9264,3,11,,West,,files/app/46fee0d1-1e3a-4864-96e1-2d5b78836551_image-1505107839315.original.jpg,0.2,20,0,12,,,,,No,,,5 - extinct or near extinct,Looting,agriculture; plenty of stones within looking like someone excavated and left them there,5 - none or nearly none,Looting,,Unknown,,,,,POINT(433034.926359 4693185.707691)
1.00E+18,8307,Adela Sobotkova,11-Sep,Extinct Burial Mound,Legacy verification,bulldozed destroyed mound? soilmark of light brown soil and limestonea scatter,Other,explain in notes (freshly bulldozer field with ripped vineyard and brush,Other,explain in notes (see LU note above,Hilltop,,42.39077351,26.24532337,4693440.652,437883.1614,3,6,,Northeast,slr#54,files/app/4481e5ea-9697-47ff-99a6-947d1c03939a_image-1505107799548.original.jpg,0.5,35,NA,30,,,Other,field stones ploughed up,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last week,,,,,POINT(437883.161412 4693440.652453)
1.00E+18,8308,Adela Sobotkova,11-Sep,Uncertain Mound,Survey,extinct mound?,Other,explain in notes,Other,explain in notes,Hilltop,,42.38964751,26.24537336,4693315.587,437886.1659,3,,,North,58-57,files/app/ca5c2deb-2798-4525-a268-ab40058da03e_image-1505108629830.original.jpg,0.5,15,NA,12,,,Other,white boulders scattered around,No,,files/app/7c1e76d6-45df-45c4-8d8f-7bfae364b28f_image-1505108700304.original.jpg - files/app/d6c235de-f276-49f4-88bd-1eee840a3912_image-1505108767205.original.jpg,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last week,,,,,POINT(437886.165909 4693315.587227)
1.00E+18,9519,Vera Dolezalkova,11-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Pasture,grassland,Lower slope,,42.40888436,26.21493816,4695474.294,435400.7453,3,28,,West,"photo #13-21
limestone scatter on top of mound pulled out by robbers",files/app/b303fa49-dc75-473f-9a3a-b04d04abd265_image-1505109446344.original.jpg,1.8,28,1.6,25,,,,,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Last year,,"[01,circular,3.5,3,1.6,limestone,see the drawing]",,files/app/45e8020a-2a48-40e6-a9d4-c82c9b5e23ce_image-1505109069089.original.jpg - files/app/c33a2099-30f9-4f1f-9997-825511fab578_image-1505109031224.original.jpg - files/app/ce978fdc-6f9f-4338-ab99-bf86a6250a22_image-1505109565411.original.jpg,POINT(435400.745273 4695474.294473)
1.00E+18,8309,Adela Sobotkova,11-Sep,Burial Mound,Legacy verification,small lozenge in a field with trees and pile of stones,Annual agriculture,,Scrub,,Upper slope,,42.3918815,26.24171041,4693566.327,437586.8775,3,8,,Northwest,slr#59-60,files/app/94d7630e-0203-451a-9da0-23614caa8d6a_image-1505109265583.original.jpg,1,18,NA,10,,,Other,field stone scatter in the RT,No,,,5 - extinct or near extinct,Looting,agriculture,5 - none or nearly none,Agriculture,,Last month,,"[01,roundish,6,3,0.8, large trench overgrown with scrub]",mound was looted in the past and recently burnt,files/app/6fe4256d-4774-4815-afcb-9958cd2f957c_image-1505109600772.original.jpg,POINT(437586.877467 4693566.327236)
1.00E+18,8110,Bara Weissova,11-Sep,Burial Mound,Survey,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.39869179,26.18602103,4694364.93,433010.4254,3,12,,North,,files/app/85a523db-1c6c-4b49-a238-cfcacd4af0bf_image-1505109587301.original.jpg,1.8,35,NA,40,,,,,No,,,3 - damaged,Agriculture,,4 - minimal,Agriculture,,Last year,,,,,POINT(433010.425364 4694364.929879)
1.00E+18,8310,Adela Sobotkova,11-Sep,Uncertain Mound,Survey,bluff with manmade embankment and stone walls and features,Annual agriculture,,Scrub,,Upper slope,,42.39356388,26.24149945,4693753.29,437571.1809,3,9,,North,#62-65,files/app/7da8de65-4cd0-4375-a19b-f0354d5f6343_image-1505110298136.original.jpg,1,25,NA,25,,,Other,,No,,,4 - seriously damaged,Excavation,burning,5 - none or nearly none,Other,specify in Annotation) (embankment),Unknown,,"[01,round,6,5,1.5, dug in with stone wall to E;02,ditch,12,2,1.5,some fieldstones around]",,files/app/ca44bd7a-792e-43fc-ba89-c31ea9ee056f_image-1505112714338.original.jpg - files/app/fd6e656c-699a-4a0e-952b-8b2e3e610e2e_image-1505110528573.original.jpg,POINT(437571.180948 4693753.289884)
1.00E+18,9520,Vera Dolezalkova,11-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Lower slope,,42.41040418,26.2112497,4695645.864,435098.8035,3,29,233.7,Northwest,photo #24-28,files/app/fbbdb7ab-f87b-4fe2-affe-455caf9a56ef_image-1505110700252.original.jpg,0.5,15,NA,12,,,,,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Unknown,,"[01,circular,4.5,4.5,0.5,white quartz stones piled on the west rt cut]",,files/app/210781b9-74ed-4598-b430-fa70f45e5c9b_image-1505110638882.original.jpg - files/app/255854e6-16a4-446f-a048-9e6e444f5b0b_image-1505110862732.original.jpg - files/app/4c802e25-46a0-45af-a2f4-bb0428e6506d_image-1505110570476.original.jpg,POINT(435098.803502 4695645.863672)
