uuid,identifier,BurialMoundAuthor,TypeClean,Type Note,HeightMax,DiameterMax,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1000101663749322452,8641,Matilde Jensen,Burial Mound,,1.1,19,Matilde Jensen,2022-09-21 08:35:27.621 GMT,Matilde Jensen,2022-09-21 08:35:27 GMT,8641,21 Sep,Legacy verification,"twin mounds located in a heavily ploughed field. Mound about 20 meters apart. Twin mound situated on the south edge of the road leading from Kamenets to Polyana. Mound is located in a heavily ploughed field, but still very prominent. Easily spotted from the road.",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,High,42.32316000000001,26.763605,4685684.378736755,480521.6915040531,1.4,069,,Southwest,775,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8641_1.jpg''}}",NA,NA,,,,none,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,no observation ,,,POINT(480521.691504 4685684.378737)
1000101663750791960,8642,Matilde Jensen,Burial Mound,,0.5,22,Matilde Jensen,2022-09-21 08:59:55.199 GMT,Matilde Jensen,2022-09-21 08:59:55 GMT,8642,21 Sep,Legacy verification,mound located in a heavily ploughed field. the mound is seriously damaged by agriculture.,Annual agriculture,,Annual agriculture,,Upper slope,Medium,42.323165,26.773033333333334,4685682.818798009,481298.56254098745,1.2,070,,Northwest,776 til 778,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8642_1.jpg''}}",NA,NA,,,,scatter of Roman and late antique found around 100m from the mound,No,Roman or late antique ,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8642_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8642_2.jpg''}}",3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,no observation ,,,POINT(481298.562541 4685682.818798)
1000101663751381932,8643,Matilde Jensen,Extinct Burial Mound,,0,0,Matilde Jensen,2022-09-21 09:09:46.677 GMT,Matilde Jensen,2022-09-21 09:09:46 GMT,8643,21 Sep,Legacy verification,nearly extinct mound only recognizable by the lighter brown soil in the field. a forest is located near the extinct mound ,Annual agriculture,,Annual agriculture,,Lower slope,Low,42.323908333333335,26.773333333333333,4685765.2890910935,481323.5015914266,2.1,071,,Northwest,779,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8643_1.jpg''}}",NA,NA,,,,none,No,,,4 - seriously damaged,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,no observation ,,,POINT(481323.501591 4685765.289091)
1000121663752114066,8772,Julie Lund,Extinct Burial Mound?,,0.3,5,Julie Lund,2022-09-21 09:21:59.255 GMT,Julie Lund,2022-09-21 09:30:21 GMT,8772,21 Sep,Legacy verification,"uncertain feature in a patch of scrub and forest, next to a creek, down slope, mound indistinguishable, more likely a settlement mound",Forest,,Scrub,,Lower slope,Nil,42.30586333333334,26.863225000000003,4683745.845180663,488727.025643101,1.3,40,229,Northwest,309-310,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8772_1.jpg''}}",0,0,we could not discern the dimensions ,"sphere-like, protruding 30m above the creek on the mound,",,,No,,,5 - extinct or near extinct,Other (specify in Annotation),indeterminable,5 - none or nearly none,Unknown,,Unknown,,none,none,,POINT(488727.025643 4683745.845181)
1000121663754186569,8773,Julie Lund,Extinct Burial Mound,,0,0,Julie Lund,2022-09-21 09:56:31.746 GMT,Julie Lund,2022-09-21 10:01:29 GMT,8773,21 Sep,Legacy verification,"poorly accessible spot in the forest, point taken in the highest point,  CA 30m east of the map point, no mound in sight, reasonable sight, Map point in the forest next to dirtroad ",Forest,,Forest,,Upper slope,Nil,42.31152999999999,26.860585,4684375.395832185,488510.46776357264,1.6,41,236,South,311,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8773_1.jpg''}}",0,0,none,none,,,No,,,0 - No observation,No observation,none,No observation,Not available,,Not relevant,,none,don''t bother without lidar,,POINT(488510.467764 4684375.395832)
1000101663755072060,8644,Matilde Jensen,Other,military structure and geodetic point ),1,20,Matilde Jensen,2022-09-21 10:11:15.825 GMT,Matilde Jensen,2022-09-21 10:15:27 GMT,8644,21 Sep,Legacy verification,"we discovered a military structure at the point on the legacy map. it could possibly have been a mound, but later military have damaged it. a big geodetic marker is situated at the top. the geodetic marker is enclosed by military trenches ",Forest,,Scrub,,Hilltop,High,42.296275,26.744178333333334,4682703.832916109,478912.0137027551,1.5,071,,Northwest,780 to 782,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8644_1.jpg''}}",NA,NA,,round shape enclosed with military trenches,,none,No,,,0 - No observation,Other (military activity and geodetic marker ),,4 - minimal,Other,specify in Annotation) (military activity ),Unknown,,no RT just military trenchee,set of military installations ,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8644_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8644_2.jpg''}}",POINT(478912.013703 4682703.832916)
1000121663755422380,8774,Julie Lund,Burial Mound,,0.5,20,Julie Lund,2022-09-21 10:17:10.278 GMT,Julie Lund,2022-09-21 10:26:10 GMT,8774,21 Sep,Legacy verification,"located next to a forest, west of the dirt road on a field accessible due to broken fence, full of medium size stones. main road nearby (north west of mound), ploughed and harrowed, full of vegetation, I discernible due to ploughing",Annual agriculture,,Annual agriculture,,Upper slope,Medium,42.313945,26.854809999999997,4684644.340976414,488034.99317400466,1.2,42,215,Northwest,319-320,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8774_1.jpg''}}",0,NA,none,,,,No,,,4 - seriously damaged,Agriculture,ploughing,3 - impaired,Agriculture,,Other,within the last 10 years),none,,,POINT(488034.993174 4684644.340976)
1000101663757467568,8645,Matilde Jensen,Surface Scatter,,0,100,Matilde Jensen,2022-09-21 10:51:12.745 GMT,Matilde Jensen,2022-09-21 10:51:12 GMT,8645,21 Sep,Survey,artifact scatter found in a100m radius on a ploughed field.,Annual agriculture,,Annual agriculture,,Upper slope,High,42.292680000000004,26.739105000000002,4682305.93229847,478492.58338333503,1.4,072,,Northwest,783 to 785,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8645_1.jpg''}}",NA,NA,,,Artefact scatter,sherds of pottery found in a ploughed field. mostly Roman pottery including rim and handle fragments ,Yes,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8645_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8645_2.jpg''}}",3 - damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,no observation ,,,POINT(478492.583383 4682305.932298)
1000121663758560495,8775,Julie Lund,Extinct Burial Mound?,,0,0,Julie Lund,2022-09-21 11:09:29.277 GMT,Julie Lund,2022-09-21 11:12:27 GMT,8775,21 Sep,Legacy verification,"ghost mound. 200 m south of the asphalt road. fan like feature carved into the slope, bedrock protruding in the bottom. improbable location in valley bottom. easily accessible. another potentially feature 50m east a rocky outcrop. pile of dirt at the bottom of the slope, excavated?",Pasture,grassland,Pasture,grassland,Lower slope,Nil,42.30856000000001,26.84364333333333,4684048.048034536,487113.6573457282,1.4,43,196,Southwest,322,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8775_1.jpg''}}",0,0,,undiscernible,,,No,,,0 - No observation,No observation,none,No observation,Not available,,Not relevant,,none,"don''t go here either, mound undiscernible",,POINT(487113.657346 4684048.048035)
1000101663758830479,8646,Matilde Jensen,Burial Mound,,1.7,24,Matilde Jensen,2022-09-21 11:13:54.132 GMT,Matilde Jensen,2022-09-21 11:16:40 GMT,8646,21 Sep,Legacy verification,mound located in a forest surrounded by scrub. rt on top of mound. in the landscape there is naturally occurring stones in the soil and terrain. ,Forest,,Scrub,,,Medium,42.29069833333333,26.74287,4682084.954507542,478802.2946433843,1.2,073,,West,786 to 787,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8646_1.jpg''}}",NA,NA,,,,none,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Unknown,RT really overgrown ),"01, round, 2m, 0.3m, densely overgrown, impossible to trace its exact borders, very old rt as a tree has been growing in the middle",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8646_1.jpg''}}",POINT(478802.294643 4682084.954508)
1000121663760186419,8776,Julie Lund,Burial Mound,,1.7,16,Julie Lund,2022-09-21 11:36:31.098 GMT,Julie Lund,2022-09-21 11:50:49 GMT,8776,21 Sep,Legacy verification,"grass covered low mound, north of asphalt road, easily visible from the village and easily accessible, nearly extinct. geodetic marker from 1989. has RT or TE.",Pasture,grassland,Pasture,grassland,Upper slope,Medium,42.304145,26.83326833333333,4683559.451977797,486257.62749445357,1.2,44,231,West,323-330 the last faces the village it is the best,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8776_1.jpg''}}",0.4,10,,,,,No,,,4 - seriously damaged,Looting,possible TE and land marker ,4 - minimal,Other,specify in Annotation),Unknown,,"1, round, 5,1, could be TE, open to the west, overgrown with raspberries ",,,POINT(486257.627494 4683559.451978)
1000101663825812333,8647,Matilde Jensen,Burial Mound,,2.5,28,Matilde Jensen,2022-09-22 05:50:20.902 GMT,Matilde Jensen,2022-09-22 06:24:14 GMT,8647,22 Sep,Legacy verification,"mound located 200m west from the village Lyulin. mound is very prominent, but overgrown by pasture. on the southern side of the mound right at the base, we discovered a RT. at the top of the mound there might have been another RT, but it is really old since it is overgrown. the mound is located east of a dirt road.",Pasture,grassland,Pasture,grassland,Lower slope,High,42.435140000000004,26.793065000000002,4698111.898893098,482979.3860268117,1.2,074,191,Southeast,0790 to 0791,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8647_1.jpg''}}",1.5,NA,,round ,,none,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Unknown,"The two RT is really overgrown by pasture, which makes it hard to determine the dimensions)","01, round, 3m,0,3m, manually excavated, really overgrown which makes it hard to gage its dimensions.
02, oval, 1.5m,1m,0.5m, manually excavated, also overgrown, but it is possible to see its dimensions ",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8647_1.jpg''}}",POINT(482979.386027 4698111.898893)
1000131663827015650,9871,Joel Sercombe,Burial Mound,,2,20,Joel Sercombe,2022-09-22 06:10:28.611 GMT,Joel Sercombe,2022-09-22 06:19:31 GMT,9871,22 Sep,Legacy verification,"Burial mound, west of Lulin village on upper slope on hill. Surrounded by field with straw. Mound has been partially ploughed over. Ploughing has slightly elongated the mound in the east and west directions.",Annual agriculture,,Annual agriculture,,Upper slope,Medium,42.43707500000001,26.783575000000003,4698328.702126063,482199.37118931836,1.2,052,215,Northwest,0002,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9871_1.jpg''}}",1,16,,Slightly ovoid.,,Straw and a small amount of scrub on south side of mound.,No,,,2 - minor damage,Agriculture,Unclear extent of damage due to ploughing.,3 - impaired?,Agriculture,,Last year,,None visible.,,,POINT(482199.371189 4698328.702126)
1000131663827923845,9872,Joel Sercombe,Burial Mound,,1.8,14,Joel Sercombe,2022-09-22 06:25:29.022 GMT,Joel Sercombe,2022-09-22 06:41:54 GMT,9872,22 Sep,Legacy verification,"Mound is located west of Lulin village, on the upper slope of a small hill. Mound is surrounded by fields and covered in scrub and long grass. Significant damage has been made to the mound by looters. ",Annual agriculture,,Scrub,,Upper slope,High,42.43599166666666,26.78277666666667,4698208.579273815,482133.4017180604,1.1,053,228,Southwest,0003 to 0007 and 0019 to 0021,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9872_1.jpg''}}",NA,NA,,Round,,Small scrub and grass. Geodatic marker on top of mound.,No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9872_1.jpg''}}",4 - seriously damaged,Looting,,4 - minimal,Looting,,Unknown,,"01, rectangular, 2m, 7m, 1m, manually excavated
02, oval, 4m, 6m, 1.5m, machine excavated ",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9872_1a.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9872_2a.jpg''}}",POINT(482133.401718 4698208.579274)
1000091663827941301,8777,Dorthe Pedersen,Tell?,,5,100,Dorthe Pedersen,2022-09-22 06:25:49.787 GMT,Dorthe Pedersen,2022-09-22 06:25:49 GMT,8777,22 Sep,Legacy verification,"irregular shaped rounded feature in a grassy elevated spot surrounded by agricultural fields,next to the dirt road. ckusterof stoneson mound. 5 m. above the surrounded landscape. pottery all over, settlement mound ?",Annual agriculture,,Pasture,grassland,Hilltop,High,42.42651833333333,26.798214999999995,4697153.552960236,483400.704144996,1.1,45,196,Northwest,331+342,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8777_1.jpg''}}",2,NA,,hight from field is 5 m. ,Artefact scatter,"prehistoric, slag, daub, ancient handmade in the vicinity of the mound, registered separately ",No,prehistory,,2 - minor damage,Animal activity,,1 - full,Animal activity,,Last month,,,,,POINT(483400.704145 4697153.55296)
1000091663829505195,8778,Dorthe Pedersen,Surface Scatter,,0,100,Dorthe Pedersen,2022-09-22 06:51:57.089 GMT,Dorthe Pedersen,2022-09-22 06:51:57 GMT,8778,22 Sep,Survey,"surface scatter in relation to possible settlement mound 8777. in harrowed field with recent perticipation. perfect visibility. 1-10 pieces per m2. handmade  ware with canelures, stamped and insized decoration. lots of daub. thin and thick walled. 1 red slip and 1 yellow glazed shard",Annual agriculture,,Annual agriculture,,Hilltop,Medium,42.42606666666667,26.798288333333335,4697103.3868282335,483406.6175992385,2.2,46,187,Northwest,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8778_1.jpg''}}",NA,20,,,Artefact scatter,,Yes,EIA ,,1 - pristine,Agriculture,,1 - full,Agriculture,,Last week,,,come back and get the rest,,POINT(483406.617599 4697103.386828)
1000131663831101455,9873,Joel Sercombe,Burial Mound,,1.8,17,Joel Sercombe,2022-09-22 07:18:37.311 GMT,Joel Sercombe,2022-09-22 07:37:44 GMT,9873,22 Sep,Legacy verification,"Mound is located West of Lulin, south of Erkesia and Kavakdere River. Mound is on the top of a small ridge and is surrounded with dense forest. North East slope is larger than the south west, due to natural topographic slopes on the ridgeline. Difficult to determine the base of the mound due to topography. Top of mound has minor damage due to excavation. ",Forest,,Scrub,,Lower slope,Low (low only due to surrounding forest. Would be high if vegetation was cleared.),42.44134833333332,26.771178333333335,4698805.875523615,481181.0424017721,1.2,054,218,Southeast,0022 to 0024,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9873_1a.jpg''}}",NA,NA,,Oval. Difficult to determine base of mound due to natural topography surrounding matching mound side slope angle Very difficult to determine due to location in topography.??,,Grass and dense scrub on sides of mound.,No,,,2 - minor damage,Excavation (Trench may be of military origin. Angel considers it very unlikely to be a robbers trench due to location and depth in mound.),,2 - good,Unknown,,Unknown,,,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9873_1.jpg''}}",POINT(481181.042402 4698805.875524)
