"","uuid","identifier","createdBy","createdAtGMT","modifiedBy","modifiedAtGMT","MoundID","Date","BurialMoundAuthor","TypeClean","Type Note","Source","DescriptionOfMoundOrLocale","LanduseAroundMound","LanduseAroundMoundNote","LanduseOnTopOfMound","LanduseOnTopOfMoundNote","PositionInTheLandscape","MoundProminence","Latitude","Longitude","Northing","Easting","Accuracy","HandheldGPSPoint","Elevation","FacingDirectionForPhoto","NotesAndPhotoID","Photo","HeightMax","DiameterMax","HeightMin","DiameterMin","OtherDimension","ShapeNotes","AssociatedFeatureOrMaterial","SurfaceMaterialDescription","SampleCollected","ChronologyEstimate","AssociatedFeatureOrMaterialPhoto","Condition","PrincipalSourceOfImpact","OtherSourcesOfImpact","ArchaeologicalPotential","MostRecentDamageWhat","MostRecentDamageWhat 2","MostRecentDamageWithin","MostRecentDamageWithin 2","RTDescription","CommentsAndRecommendations","CRMPhotos","geospatialcolumn"
"11",1000031662975259904,8575,"Verka Dolezalkova","2022-09-12 09:34:29.569 GMT","Verka Dolezalkova",2022-09-12 09:36:46,8575,"12 Sep","Verka Dolezalkova","Uncertain Feature",NA,"Survey","flat uncertain mound","Annual agriculture",NA,"Pasture","grassland","Upper slope","Low",42.1248966666667,26.7071,4663685.01690663,475790.200348903,1.4,"006",NA,"Northwest","114-0725","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8575_1.jpg''}}",0.3,"21",NA,NA,NA,NA,"Artefact scatter","stones and acient ceramic","No","ancient","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8575_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8575_2.jpg''}}","3 - damaged","Agriculture","animals","3 - impaired","Agriculture",NA,"Unknown",NA,NA,NA,NA,"POINT(475790.200349 4663685.016907)"
"12",1000031662976074368,8576,"Verka Dolezalkova","2022-09-12 09:47:59.628 GMT","Verka Dolezalkova",2022-09-12 09:49:30,8576,"12 Sep","Verka Dolezalkova","Extinct Burial Mound",NA,"Survey","possibly extinct mound from M 1:5000","Pasture","grassland","Pasture","grassland","Upper slope","Low",42.125575,26.7058483333333,4663760.68873747,475687.002467092,1.3,"007",NA,"Northwest","114-0728 to 114-0729","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8576_1.jpg''}}",0.3,"15",NA,NA,NA,"round and very flat",NA,NA,"No",NA,NA,"5 - extinct or near extinct","Erosion",NA,"5 - none or nearly none","Animal activity",NA,"Last year",NA,NA,NA,NA,"POINT(475687.002467 4663760.688737)"
"13",1000031662978119040,8577,"Verka Dolezalkova","2022-09-12 10:22:04.232 GMT","Verka Dolezalkova",2022-09-12 10:22:56,8577,"12 Sep","Verka Dolezalkova","Burial Mound",NA,"Legacy verification",NA,"Scrub",NA,"Scrub",NA,"Upper slope","High",42.1296566666667,26.69849,4664216.00288914,475080.401313023,1.2,"008",NA,"Northwest","114- 0732 to 114- 0733","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8577_1.jpg''}}",3,"35",NA,NA,NA,"round",NA,NA,"No",NA,NA,"3 - damaged","Looting",NA,"3 - impaired","Looting",NA,"Unknown",NA,"L shaped RT 5 m length on top of mound.
stones pulled out and scattered around.
Backfield.",NA,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8577_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8577_2.jpg''}}","POINT(475080.401313 4664216.002889)"
"14",1000081662978179712,8738,"Matilde Jensen","2022-09-12 10:23:04.997 GMT","Matilde Jensen",2022-09-12 10:26:39,8738,"12 Sep","Matilde Jensen","Burial Mound",NA,"Legacy verification","4m mound visible from the road. in a field very prominent mound with grass and trees on top. with small craters. compact standing tall mound. earthbound square stone at the of the mound.","Pasture","grassland","Pasture","grassland","Valley Bottom or Plain","High",42.104785,26.7041616666667,4661452.83066883,475539.598453519,1.4,"006","239","Southwest","960","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8738_1.jpg''}}",4,"25",3.5,"25",NA,NA,NA,NA,"No",NA,NA,"2 - minor damage","Looting",NA,"2 - good","Looting",NA,"Last year",NA,"01,round,5m,1m;02,round,2m,0.30m",NA,NA,"POINT(475539.598454 4661452.830669)"
"15",1000081662980080384,8739,"Matilde Jensen","2022-09-12 10:54:48.394 GMT","Matilde Jensen",2022-09-12 10:56:35,8739,"12 Sep","Matilde Jensen","Uncertain Feature",NA,"Survey","Bulging feature in a ploughed field. possibly a ploughed up mound. Lotz of natural limestone. noticeable rocky soil.","Annual agriculture",NA,"Annual agriculture",NA,"Valley Bottom or Plain","High",42.1113316666667,26.7046633333333,4662179.57081779,475583.589481806,1.4,"007","238","North","962","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8739_1.jpg''}}",2,"70",0.8,"50",NA,"Round",NA,"none","No",NA,NA,"3 - damaged","Agriculture",NA,"2 - good","Agriculture",NA,"Last month",NA,NA,NA,NA,"POINT(475583.589482 4662179.570818)"
"16",1.000031662981e+18,8578,"Verka Dolezalkova","2022-09-12 11:10:04.960 GMT","Verka Dolezalkova",2022-09-12 11:10:25,8578,"12 Sep","Verka Dolezalkova","Burial Mound",NA,"Legacy verification",NA,"Pasture","grassland","Pasture","grassland","Lower slope","Medium",42.126695,26.712345,4663883.21521001,476224.401302315,1.2,"009",NA,"Northeast","114-0734 to 114-0735","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8578_1.jpg''}}",1,"26",NA,NA,NA,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","Looting","animals (pasture)","4 - minimal","Looting",NA,"Last year",NA,"round RT, 1 Meter deep, 3 meters wide",NA,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8578_1.jpg''}}","POINT(476224.401302 4663883.21521)"
"17",1000081662982285824,8740,"Matilde Jensen","2022-09-12 11:31:35.262 GMT","Matilde Jensen",2022-09-12 11:34:43,8740,"12 Sep","Matilde Jensen","Burial Mound",NA,"Legacy verification","high mound in scub area. less than one third of the mound left due to military activity","Scrub",NA,"Scrub",NA,"Upper slope","Medium",42.130835,26.6763233333333,4664353.5401237,473248.835109943,1.2,"008","176","East","966","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8740_1.jpg''}}",4,"28",3.5,"12",NA,NA,NA,"none","No",NA,NA,"3 - damaged","Other (military)",NA,"2 - good","Other","specify in Annotation) (military )","Other",NA,"01,tshaped,7m,4m,1,5m,manually excavated;02,rectangular,10m,3m,2.5m,military",NA,NA,"POINT(473248.83511 4664353.540124)"
"18",1000031662982706432,8579,"Verka Dolezalkova","2022-09-12 11:38:31.616 GMT","Verka Dolezalkova",2022-09-12 11:39:02,8579,"12 Sep","Verka Dolezalkova","Burial Mound",NA,"Legacy verification",NA,"Annual agriculture",NA,"Scrub",NA,"Upper slope","High",42.1240116666667,26.7177616666667,4663583.78736229,476671.121945077,1.4,"010",NA,"Northeast","114-0738","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8579_1.jpg''}}",1.2,"36",NA,NA,NA,NA,"Artefact scatter","ancient and medieval and modern  ceramic","No","ancient and medieval and modern","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8579_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8579_2.jpg''}}","3 - damaged","Agriculture",NA,"3 - impaired","Agriculture",NA,"Last month",NA,NA,NA,NA,"POINT(476671.121945 4663583.787362)"
"19",1000081662984852608,8741,"Matilde Jensen","2022-09-12 12:14:17.225 GMT","Matilde Jensen",2022-09-12 12:20:16,8741,"12 Sep","Matilde Jensen","Burial Mound?",NA,"Survey","possibly a mound. surrounded by fields and a road. scrub on top of mound.","Annual agriculture",NA,"Scrub",NA,"Hilltop (lower ridge)","High",42.1287983333333,26.6721283333333,4664128.72827469,472901.259131292,1.2,"009","192","South","973","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8741_1.jpg''}}",2,"35",NA,"25",NA,"round",NA,"none","No",NA,NA,"3 - damaged","Looting","geodetic work","3 - impaired","No observation",NA,"Unknown",NA,"01,cshape,5m,5m,1m;02,donutshaped,4m,4m,0.3m","01 geo",NA,"POINT(472901.259131 4664128.728275)"
"20",1000031662986063232,8580,"Verka Dolezalkova","2022-09-12 12:34:28.340 GMT","Verka Dolezalkova",2022-09-12 12:35:10,8580,"12 Sep","Verka Dolezalkova","Burial Mound",NA,"Survey",NA,"Pasture","grassland","Scrub",NA,"Upper slope","Low",42.11704,26.7234516666667,4662808.17566701,477138.932856751,1.2,"11",NA,"Northeast","114-0741","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8580_1.jpg''}}",0.5,"17",NA,NA,NA,NA,NA,NA,"No",NA,NA,"3 - damaged","Animal activity",NA,"3 - impaired","Animal activity",NA,"Last year",NA,NA,"densely overgrown",NA,"POINT(477138.932857 4662808.175667)"
"21",1000041662987453568,9740,"Todor  Valchev","2022-09-12 12:57:38.832 GMT","Todor  Valchev",2022-09-12 13:03:35,9740,"12 Sep","Todor  Valchev","Burial Mound",NA,"Survey","It is position on a ridge, with a wide view toward south and north-east","Annual agriculture",NA,"Scrub",NA,"Upper slope","Low",42.124035,26.66932,4663600.74304756,472667.101373014,1.2,NA,NA,"North","The mount is overgrowth with bushes and trees.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9740_1.jpg''}}",2.5,"25",2,"20",NA,"round shape",NA,NA,"No",NA,NA,"3 - damaged","Other (Military activity)","Military activity","4 - minimal","Other","specify in Annotation) (Military trench)","Unknown",NA,"C shape, 10,1.5,0.5, military shallow trench","revisit needed to take better photoes","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9740_1.jpg''}}","POINT(472667.101373 4663600.743048)"
"22",1000081663047975424,9825,"Matilde Jensen","2022-09-13 05:46:29.644 GMT","Matilde Jensen",2022-09-13 05:47:15,9825,"13 Sep","Matilde Jensen","Tell","settlement mound)","Legacy verification","Big settlement mound located in a plain with grass. located in the eastern periphery of the village chenozen. Road near by. Grass and flowers on top of mound.","Pasture","grassland","Pasture","grassland","Valley Bottom or Plain","Medium (visibilty from  the north and the east is lower. from south and west visibility better. )",42.113095,26.6110866666667,4662406.3335039,467848.192780376,1.2,"001","126","Northwest","DSC_0006 to DSC_0010","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9825_1.jpg''}}",7,"100",NA,NA,NA,"Round","Artefact scatter","Fragments found in animal holes. Fragments of rim, handle and floor fragment.","Yes","Prehistoric grey ware.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9825_1a.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9825_2a.jpg''}}","2 - minor damage","Excavation?","(Possibly excavation )","2 - good","Other","specify in Annotation) (Possibly excavation )","Unknown",NA,NA,NA,NA,"POINT(467848.19278 4662406.333504)"
"23",1000031663050126848,8581,"Verka Dolezalkova","2022-09-13 06:22:27.275 GMT","Verka Dolezalkova",2022-09-13 06:24:15,8581,"13 Sep","Verka Dolezalkova","Burial Mound",NA,"Legacy verification","robbed mound next to the geodetic point","Forest",NA,"Scrub",NA,"Upper slope","Medium",42.090525,26.585815,4659910.1800027,465746.812568691,1.4,"012",NA,"Southwest","978-980","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8581_1.jpg''}}",1.7,"25",NA,NA,NA,NA,"Other","quartz scatter on the top and around the mound","No",NA,NA,"3 - damaged","Looting",NA,"3 - impaired","Looting",NA,"Other",NA,"1RT looks like a year old, RT is older","1RT rectangular, 1x1.5m, 2RT elongated 3x1.5m","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8581_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8581_2.jpg''}}","POINT(465746.812569 4659910.180003)"
"24",1000031663053125120,8582,"Verka Dolezalkova","2022-09-13 07:12:21.244 GMT","Verka Dolezalkova",2022-09-13 07:20:40,8582,"13 Sep","Verka Dolezalkova","Burial Mound",NA,"Legacy verification","larger mound surrounded with a pottery scatter (60m radius around the mound). pottery visible only in the ploughed stripe around the mound
","Annual agriculture",NA,"Pasture","grassland","Hilltop","Super prominent",42.0969166666667,26.5873466666667,4660619.24030136,465876.908267679,1.2,"013",NA,"North",NA,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8582_1.jpg''}}",1.7,"30",NA,NA,NA,NA,"Artefact scatter","crumbled iron age handmade pottery, very worn","No","iron age (pottery)","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8582_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8582_2.jpg''}}","3 - damaged","Looting",NA,"3 - impaired","Looting",NA,"Unknown",NA,"1RT, round, 1m deep, 3m diameter","larger stones on the top of the mound and in the RT","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8582_1.jpg''}}","POINT(465876.908268 4660619.240301)"
"25",1000081663056146048,9827,"Matilde Jensen","2022-09-13 08:02:31.253 GMT","Matilde Jensen",2022-09-13 08:03:52,9827,"13 Sep","Matilde Jensen","Extinct Burial Mound",NA,"Legacy verification","Big mound with a large cut on top. Cut made by machine which creates a ridge in the north west periphery of the mound. Soil of the mound distributed to the north and south west.","Forest",NA,"Pasture","grassland","Hilltop","Low",42.1172983333333,26.597665,4662878.17329589,466740.807767811,1.2,"003","10","Southwest","DSC_0019 to DSC_0026","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9827_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9827_2.jpg''}}",1,"30",0.2,NA,NA,"round with minimal sloping to the south west.","Artefact scatter","Grey and red artefacts. Prehistoric pottery and a fragment of burned clay","No",NA,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9827_1a.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9827_2a.jpg''}}","5 - extinct or near extinct","Other (Cut made by a machine. Soil moved to the north and south east. )",NA,"5 - none or nearly none","Other","specify in Annotation) (Cut made by a machine )","Other","Between 2-5 years )","hijacker 72²2222272 TV              vb26","RT photos: DSC_0027 to DSC_0041","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_3.jpg''}, ''4'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_4.jpg''}, ''5'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_5.jpg''}, ''6'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_6.jpg''}}","POINT(466740.807768 4662878.173296)"
"26",1000031663056301312,8583,"Verka Dolezalkova","2022-09-13 08:05:16.943 GMT","Verka Dolezalkova",2022-09-13 08:12:57,8583,"13 Sep","Verka Dolezalkova","Burial Mound",NA,"Legacy verification","prominent mound","Pasture","grassland","Annual agriculture",NA,NA,"Super prominent",42.1069183333333,26.586935,4661729.90110043,465848.234399169,1.3,"014",NA,"North","990-995","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8583_1.jpg''}}",5,"40",NA,NA,NA,NA,"Artefact scatter","2 sherds","No","Roman Pottery fragments","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8583_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8583_2.jpg''}}","3 - damaged","Looting",NA,"3 - impaired","Animal activity",NA,"Last year",NA,"1RT,oval,6x3, 1m deep",NA,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8583_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8583_2.jpg''}}","POINT(465848.234399 4661729.9011)"
