uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,BurialMoundAuthor,TypeClean,Type Note,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1000031662975259832,8575,Verka Dolezalkova,2022-09-12 09:34:29.569 GMT,Verka Dolezalkova,2022-09-12T09:36:46Z,8575,12 Sep,Verka Dolezalkova,Uncertain Feature,,Survey,flat uncertain mound,Annual agriculture,,Pasture,grassland,Upper slope,Low,42.12489666666667,26.7071,4663685.016906628,475790.20034890325,1.4,006,,Northwest,114-0725,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8575_1.jpg''}}",0.3,21,NA,NA,,,Artefact scatter,stones and acient ceramic ,No,ancient ,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8575_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8575_2.jpg''}}",3 - damaged,Agriculture,animals ,3 - impaired,Agriculture,,Unknown,,,,,POINT(475790.200349 4663685.016907)
1000031662976074440,8576,Verka Dolezalkova,2022-09-12 09:47:59.628 GMT,Verka Dolezalkova,2022-09-12T09:49:30Z,8576,12 Sep,Verka Dolezalkova,Extinct Burial Mound,,Survey,possibly extinct mound from M 1:5000 ,Pasture,grassland,Pasture,grassland,Upper slope,Low,42.125575,26.705848333333332,4663760.688737465,475687.00246709207,1.3,007,,Northwest,114-0728 to 114-0729,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8576_1.jpg''}}",0.3,15,NA,NA,,round and very flat,,,No,,,5 - extinct or near extinct,Erosion,,5 - none or nearly none,Animal activity,,Last year,,,,,POINT(475687.002467 4663760.688737)
1000031662978119059,8577,Verka Dolezalkova,2022-09-12 10:22:04.232 GMT,Verka Dolezalkova,2022-09-12T10:22:56Z,8577,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Scrub,,Scrub,,Upper slope,High,42.12965666666667,26.69849,4664216.002889139,475080.401313023,1.2,008,,Northwest,114- 0732 to 114- 0733,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8577_1.jpg''}}",3,35,NA,NA,,round,,,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Unknown,,"L shaped RT 5 m length on top of mound.
stones pulled out and scattered around.
Backfield.",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8577_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8577_2.jpg''}}",POINT(475080.401313 4664216.002889)
1000081662978179721,8738,Matilde Jensen,2022-09-12 10:23:04.997 GMT,Matilde Jensen,2022-09-12T10:26:39Z,8738,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,4m mound visible from the road. in a field very prominent mound with grass and trees on top. with small craters. compact standing tall mound. earthbound square stone at the of the mound. ,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,High,42.10478499999999,26.704161666666664,4661452.830668835,475539.5984535193,1.4,006,239,Southwest,960,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8738_1.jpg''}}",4,25,3.5,25,,,,,No,,,2 - minor damage,Looting,,2 - good,Looting,,Last year,,"01,round,5m,1m;02,round,2m,0.30m",,,POINT(475539.598454 4661452.830669)
1000081662980080240,8739,Matilde Jensen,2022-09-12 10:54:48.394 GMT,Matilde Jensen,2022-09-12T10:56:35Z,8739,12 Sep,Matilde Jensen,Uncertain Feature,,Survey,Bulging feature in a ploughed field. possibly a ploughed up mound. Lotz of natural limestone. noticeable rocky soil. ,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,High,42.111331666666665,26.70466333333333,4662179.570817785,475583.58948180557,1.4,007,238,North,962,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8739_1.jpg''}}",2,70,0.8,50,,Round ,,none,No,,,3 - damaged,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(475583.589482 4662179.570818)
1000031662980999738,8578,Verka Dolezalkova,2022-09-12 11:10:04.960 GMT,Verka Dolezalkova,2022-09-12T11:10:25Z,8578,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Pasture,grassland,Pasture,grassland,Lower slope,Medium,42.126695000000005,26.712344999999996,4663883.215210007,476224.40130231454,1.2,009,,Northeast,114-0734 to 114-0735,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8578_1.jpg''}}",1,26,NA,NA,,,,,No,,,4 - seriously damaged,Looting,animals (pasture),4 - minimal,Looting,,Last year,,"round RT, 1 Meter deep, 3 meters wide ",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8578_1.jpg''}}",POINT(476224.401302 4663883.21521)
1000081662982285703,8740,Matilde Jensen,2022-09-12 11:31:35.262 GMT,Matilde Jensen,2022-09-12T11:34:43Z,8740,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,high mound in scub area. less than one third of the mound left due to military activity ,Scrub,,Scrub,,Upper slope,Medium,42.130835,26.676323333333336,4664353.540123699,473248.8351099426,1.2,008,176,East,966,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8740_1.jpg''}}",4,28,3.5,12,,,,none,No,,,3 - damaged,Other (military),,2 - good,Other,specify in Annotation) (military ),Other,,"01,tshaped,7m,4m,1,5m,manually excavated;02,rectangular,10m,3m,2.5m,military",,,POINT(473248.83511 4664353.540124)
1000031662982706452,8579,Verka Dolezalkova,2022-09-12 11:38:31.616 GMT,Verka Dolezalkova,2022-09-12T11:39:02Z,8579,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Annual agriculture,,Scrub,,Upper slope,High,42.12401166666667,26.717761666666668,4663583.78736229,476671.1219450768,1.4,010,,Northeast,114-0738,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8579_1.jpg''}}",1.2,36,NA,NA,,,Artefact scatter,ancient and medieval and modern  ceramic,No,ancient and medieval and modern,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8579_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8579_2.jpg''}}",3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(476671.121945 4663583.787362)
1000081662984852678,8741,Matilde Jensen,2022-09-12 12:14:17.225 GMT,Matilde Jensen,2022-09-12T12:20:16Z,8741,12 Sep,Matilde Jensen,Burial Mound?,,Survey,possibly a mound. surrounded by fields and a road. scrub on top of mound.,Annual agriculture,,Scrub,,Hilltop (lower ridge),High,42.12879833333333,26.67212833333333,4664128.728274692,472901.25913129176,1.2,009,192,South,973,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8741_1.jpg''}}",2,35,NA,25,,round,,none,No,,,3 - damaged,Looting,geodetic work,3 - impaired,No observation,,Unknown,,"01,cshape,5m,5m,1m;02,donutshaped,4m,4m,0.3m",01 geo,,POINT(472901.259131 4664128.728275)
1000031662986063157,8580,Verka Dolezalkova,2022-09-12 12:34:28.340 GMT,Verka Dolezalkova,2022-09-12T12:35:10Z,8580,12 Sep,Verka Dolezalkova,Burial Mound,,Survey,,Pasture,grassland,Scrub,,Upper slope,Low,42.117039999999996,26.723451666666666,4662808.175667015,477138.93285675085,1.2,11,,Northeast,114-0741,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8580_1.jpg''}}",0.5,17,NA,NA,,,,,No,,,3 - damaged,Animal activity,,3 - impaired,Animal activity,,Last year,,,densely overgrown ,,POINT(477138.932857 4662808.175667)
1000041662987453614,9740,Todor  Valchev,2022-09-12 12:57:38.832 GMT,Todor  Valchev,2022-09-12T13:03:35Z,9740,12 Sep,Todor  Valchev,Burial Mound,,Survey,"It is position on a ridge, with a wide view toward south and north-east ",Annual agriculture,,Scrub,,Upper slope,Low,42.124035000000006,26.669320000000003,4663600.743047564,472667.1013730136,1.2,,,North,The mount is overgrowth with bushes and trees.,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9740_1.jpg''}}",2.5,25,2,20,,round shape,,,No,,,3 - damaged,Other (Military activity),Military activity ,4 - minimal,Other,specify in Annotation) (Military trench),Unknown,,"C shape, 10,1.5,0.5, military shallow trench",revisit needed to take better photoes,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9740_1.jpg''}}",POINT(472667.101373 4663600.743048)
1000081663047975350,9825,Matilde Jensen,2022-09-13 05:46:29.644 GMT,Matilde Jensen,2022-09-13T05:47:15Z,9825,13 Sep,Matilde Jensen,Tell,settlement mound),Legacy verification,Big settlement mound located in a plain with grass. located in the eastern periphery of the village chenozen. Road near by. Grass and flowers on top of mound. ,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,Medium (visibilty from  the north and the east is lower. from south and west visibility better. ),42.11309500000001,26.611086666666665,4662406.333503895,467848.19278037647,1.2,001,126,Northwest,DSC_0006 to DSC_0010,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9825_1.jpg''}}",7,100,NA,NA,,Round ,Artefact scatter,"Fragments found in animal holes. Fragments of rim, handle and floor fragment. ",Yes,Prehistoric grey ware. ,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9825_1a.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9825_2a.jpg''}}",2 - minor damage,Excavation?, (Possibly excavation ),2 - good,Other,specify in Annotation) (Possibly excavation ),Unknown,,,,,POINT(467848.19278 4662406.333504)
1000031663050126930,8581,Verka Dolezalkova,2022-09-13 06:22:27.275 GMT,Verka Dolezalkova,2022-09-13T06:24:15Z,8581,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,robbed mound next to the geodetic point,Forest,,Scrub,,Upper slope,Medium,42.09052499999999,26.585815000000004,4659910.180002697,465746.81256869144,1.4,012,,Southwest,978-980,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8581_1.jpg''}}",1.7,25,NA,NA,,,Other,quartz scatter on the top and around the mound,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Other,,"1RT looks like a year old, RT is older","1RT rectangular, 1x1.5m, 2RT elongated 3x1.5m","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8581_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8581_2.jpg''}}",POINT(465746.812569 4659910.180003)
1000031663053125103,8582,Verka Dolezalkova,2022-09-13 07:12:21.244 GMT,Verka Dolezalkova,2022-09-13T07:20:40Z,8582,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,"larger mound surrounded with a pottery scatter (60m radius around the mound). pottery visible only in the ploughed stripe around the mound
",Annual agriculture,,Pasture,grassland,Hilltop,Super prominent,42.09691666666666,26.58734666666667,4660619.240301361,465876.90826767887,1.2,013,,North,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8582_1.jpg''}}",1.7,30,NA,NA,,,Artefact scatter,"crumbled iron age handmade pottery, very worn",No,iron age (pottery),"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8582_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8582_2.jpg''}}",3 - damaged,Looting,,3 - impaired,Looting,,Unknown,,"1RT, round, 1m deep, 3m diameter",larger stones on the top of the mound and in the RT,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8582_1.jpg''}}",POINT(465876.908268 4660619.240301)
1000081663056146097,9827,Matilde Jensen,2022-09-13 08:02:31.253 GMT,Matilde Jensen,2022-09-13T08:03:52Z,9827,13 Sep,Matilde Jensen,Extinct Burial Mound,,Legacy verification,Big mound with a large cut on top. Cut made by machine which creates a ridge in the north west periphery of the mound. Soil of the mound distributed to the north and south west. ,Forest,,Pasture,grassland,Hilltop,Low,42.11729833333334,26.597665,4662878.173295886,466740.8077678112,1.2,003,10,Southwest,DSC_0019 to DSC_0026,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9827_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9827_2.jpg''}}",1,30,0.2,NA,,round with minimal sloping to the south west. ,Artefact scatter,Grey and red artefacts. Prehistoric pottery and a fragment of burned clay,No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9827_1a.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9827_2a.jpg''}}",5 - extinct or near extinct,Other (Cut made by a machine. Soil moved to the north and south east. ),,5 - none or nearly none,Other,specify in Annotation) (Cut made by a machine ),Other,Between 2-5 years ),hijacker 72²2222272 TV              vb26,RT photos: DSC_0027 to DSC_0041,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_3.jpg''}, ''4'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_4.jpg''}, ''5'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_5.jpg''}, ''6'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9827_6.jpg''}}",POINT(466740.807768 4662878.173296)
1000031663056301343,8583,Verka Dolezalkova,2022-09-13 08:05:16.943 GMT,Verka Dolezalkova,2022-09-13T08:12:57Z,8583,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,prominent mound,Pasture,grassland,Annual agriculture,,,Super prominent,42.10691833333333,26.586935,4661729.901100425,465848.23439916864,1.3,014,,North,990-995,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8583_1.jpg''}}",5,40,NA,NA,,,Artefact scatter,2 sherds ,No,Roman Pottery fragments,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8583_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8583_2.jpg''}}",3 - damaged,Looting,,3 - impaired,Animal activity,,Last year,,"1RT,oval,6x3, 1m deep",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8583_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8583_2.jpg''}}",POINT(465848.234399 4661729.9011)
1000031663057529624,8584,Verka Dolezalkova,2022-09-13 08:25:44.698 GMT,Verka Dolezalkova,2022-09-13T08:30:47Z,8584,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,Damaged burial mound in the forest,Forest,,Scrub,,Lower slope,Medium,42.10735,26.586819999999996,4661777.875551005,465838.9580620484,1.3,015,,West,998,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8584_1.jpg''}}",4,30,NA,NA,,,,,No,,,4 - seriously damaged,Looting,animal burrows,4 - minimal,Animal activity,,Last year,,"1RT situated on the top, round, 3.5m diameter
r, 0.5m deep, 2RT ''c'' shape, 8x6m. 1.2M deep",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8584_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8584_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8584_3.jpg''}}",POINT(465838.958062 4661777.875551)
